show_id,type,title,director,cast,country,date_added,release_year,rating,duration,genres,language,description,popularity,vote_count,vote_average
73752,TV Show,Edge of Desire,"Roberta Richard, Davi Lacerda, Luciana Oliveira, Rogério Gomes, Cláudio Boeckel, Pedro Vasconcelos, Fábio Strazzer","Juliana Paes, Paolla Oliveira, Isis Valverde, Marco Pigossi, Rodrigo Lombardi",Brazil,2017-04-03,2017,7.6,1 Seasons,"Soap, Comedy, Drama, Crime",pt,"An ambitious woman who, for love, abandons Law School and ends up in the criminal world. A policewoman who dreams about becominga MMA championwhile fighting organized crime. A young dreamer torn between finding true love and her search for freedom. Written by International Emmy Award winner Gloria Perez, ""Edge of Desire"" presents three strong-willed women that have one thing in common: the tenacity to fight for what they want.",248.357,23,7.6
84299,TV Show,Al Hayba,Samer Al Barkawi,"Tim Hassan, Aimee Sayah, Mona Wassef, Owais Mukhalalti, Abdo Shahin",Lebanon,2017-05-27,2017,6.4,1 Seasons,"Drama, Action & Adventure",ar,"In a village by the Lebanon-Syria border, the head of an arms-smuggling clan contends with family conflicts, power struggles and complicated love.",176.477,28,6.4
70984,TV Show,Novo Mundo,"Vinicius Coimbra, André Câmara","Isabelle Drummond, Chay Suede, Caio Castro, Letícia Colin, Gabriel Braga Nunes",Brazil,2017-03-22,2017,7.8,1 Seasons,"Soap, Drama, Action & Adventure",pt,"Anna Millman is a portuguese teacher, she falls for Joaquim Martinho, an actor. Both meet in Europe and travel to Brazil together with the future princess of Brazil, Leopoldina from Austria. The romance between the teacher and the actor evolves during a time of revolution, the independence of Brazil",148.923,9,7.8
72328,TV Show,HIStory,Nancy Chen,"Sean Chang, Linus Wang, Tao Hsu, Anson Chen, Elaine Ho",Taiwan,2017-02-14,2017,7.4,1 Seasons,"Drama, Comedy, Action & Adventure, Mystery, Sci-Fi & Fantasy",zh,A Taiwanese anthology series that explores the different manifestations of fated love. Each season presents multiple stand-alone stories with unique plots and main characters.,150.916,35,7.4
79813,TV Show,Backflow,"Bae Han-cheon, Kim Mi-sook","Kim Hae-in, Seo Do-young, Lee Jae-hwang, Shin Da-eun, Han Hee-jung",South Korea,2017-11-13,2017,0.0,1 Seasons,Drama,ko,A drama about the battle between people for love and revenge.,158.746,0,0.0
74823,TV Show,The Pit,Sinan Öztürk,"Aras Bulut İynemli, Erkan Kolçak Köstendil, Necip Memili, Kadir Çermik, Perihan Savaş",Turkey,2017-10-23,2017,7.7,1 Seasons,"Crime, Action & Adventure, Drama",tr,"When a mafia family named Koçovars are in danger of losing control of their neighborhood, “The Pit,” their youngest son must come back home, a place he could never truly escape.",104.178,79,7.7
70798,TV Show,Istanbullu Gelin,"Deniz Kolos, Zeynep Günay Tan","Aslı Enver, Özcan Deniz, Salih Bademci, Dilara Aksüyek, İpek Bilgin",Turkey,2017-03-03,2017,7.4,1 Seasons,"Drama, Family, Comedy",tr,Faruk is the owner of a bus company and the leader of a powerful family in Bursa which is a metropol in Turkey. Faruk meets a violonist girl and falls in love with her. But the dominant mother of Faruk isn't happy with her son's relationship.,142.387,209,7.4
82515,TV Show,Fall Into Temptation,Eric Morales,"Silvia Navarro, Gabriel Soto, Adriana Louvier, Carlos Ferro, Arath de la Torre",Mexico,2017-09-24,2017,7.8,1 Seasons,"Drama, Soap",es,"Raquel and Damián are happily married with two children. Destiny leads Damián to meet Carolina and feels an undeniable attraction towards her. Damián did not know that Carolina was already married to Santiago Álvarado, a construction architect with whom she has two children. When Raquel drops off her son Fede at school, she accidentally backs her car to Santiago's truck, and they realize that their sons know each other. Raquel volunteers to pay for the damages but Santiago refuses. Raquel insists and goes to the Álvarado home with Damián. The two couples become great friends. But the desire between Damián and Carolina is stronger than their marriage commitment and both decide to deceive to their spouses. Damián and Carolina have a terrible car accident. Rescuers only find a seriously injured Damián, and Carolina has mysteriously disappeared from the scene. During the investigation by the police, Raquel and Santiago learn that their spouses are lovers.",169.022,247,7.8
72311,TV Show,The Advisors Alliance,Zhang Yongxin,"Wu Xiubo, Liu Tao, Janine Chang Chun-Ning, Jerry Lee, Tang Yixin",China,2017-06-22,2017,8.3,1 Seasons,"Drama, War & Politics",zh,"The story of Sima Yi, a great politician and strategist who lived during the Three Kingdoms era. By his side, Sima Yi has his politically-astute distaff members of his household, and pitted against them are the formidable Cao Cao and his heirs. After defending the Kingdom of Wei from Kongming formidable talents, who will end up with the ultimate power?",120.231,24,8.3
78089,TV Show,Under Cover,Guang Liu,"Lin Shen, Zhang Jiayi, Liu Yijun, Zhai Tianlin, Kent Tong Chun-Yip",China,2017-05-12,2017,0.0,1 Seasons,"Crime, Action & Adventure",zh,"Police officer Bao Yu is working undercover as drug dealer Jin Fei's subordinate and is eventually able to work directly under powerful drug lord Tian Jing after befriending his daughter, Tang Guo. However, Bao Yu is not fighting the drug cartel alone - he also has a support network including fellow undercover colleague and romantic interest Guan Xiao Zhi, police chief Fang Qing Long and anti-narcotics team leader Lian Zhong.",102.815,0,0.0
